"域名","页面权威度(AS)","外链分类大类","推荐优先级","来源页面标题","来源页面URL","竞品目标URL","锚文本","是否Nofollow","实操抄作业指南"
"woy.ai","3","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","PokéRogue: لعبة: مزيج فريد بين Pokémon وRogue-lite | Woy.ai","https://woy.ai/ar/p/pokerogue","https://pokerogue.cc/","فتح PokéRogue","false","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"laurelstreetsmiles.com","2","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS – yenbasingdmd","https://laurelstreetsmiles.com/telegram-seo-linkk-order-seo-backlinks-homepage-3-17/","https://pokerogue.cc/ko","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"silva.adv.br","1","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM « Silva Advogados – Curitiba – Paraná – (41) 3311-2476","http://silva.adv.br/tg-masslinker-software-to-publish-backlinks-2/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"gamepang.com","1","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","포켓로그 모바일 시작 가이드 – 다운 설치, 조작 사용법, 팁까지","https://gamepang.com/?p=113","https://pokerogue.cc/ko/blogs/pokerogue-biomes","(사진출처: pokerogue 홈페이지)","false","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"optimizeflow.top","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","✅ Website Stats 📊","https://optimizeflow.top/stats/85918","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"pharmaglob-uae.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM – Pharmaceutical Company","https://pharmaglob-uae.com/tg-masslinker-software-to-publish-backlinks-7/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"photoenmarkarte.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TELEGRAM @SEO_LINKK_ORDER - SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS | Photo EnmarKarte","https://photoenmarkarte.com/2026/03/05/telegram-seo-linkk-order-seo-backlinks-homepage-3-17/","https://pokerogue.cc/ko","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"onlinenursingdegreenow.net","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TELEGRAM @SEO_LINKK_ORDER - SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS - Online Nursing Degrees","https://onlinenursingdegreenow.net/telegram-seo-linkk-order-seo-backlinks-homepage-3-3/","https://pokerogue.cc/ko","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"qsoftware.io","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM - Qsoftware Tech","https://qsoftware.io/tg-masslinker-software-to-publish-backlinks-7/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"rkartsy.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM – RKArtsy","https://rkartsy.com/tg-masslinker-software-to-publish-backlinks-7/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"sandovalandscaping.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM – Sandoval Landscaping","https://sandovalandscaping.com/tg-masslinker-software-to-publish-backlinks-2/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"sapphirevpn.net","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","🏆🏆Boost your Google rankings with Premium PBN & Link Building🏆🏆","https://sapphirevpn.net/all/50/23.html","https://pokerogue.cc/","High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service pokerogue.cc Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap","false","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"quanghungceramic.vn","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM - Quang Hưng - Gạch ốp lát và thiết bị vệ sinh TRỌN GÓI","https://quanghungceramic.vn/tg-masslinker-software-to-publish-backlinks-4/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"quero.party","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","👲 Domain Report 👲","https://quero.party/report/85918","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"readingrights.org","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","Pokerogue Zygrade Complete Form DocHub - | DocHub","https://readingrights.org/en/pokerogue-zygrade-complete-form.html","https://pokerogue.cc/pokerogue_screenshot.png","","false","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"kenteamlogistics.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM – Kenteam Logistics Limited","https://kenteamlogistics.com/tg-masslinker-software-to-publish-backlinks-7/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"knows.sbs","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","seo domain research","https://knows.sbs/domain/domain/part/186152","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"kynologie.slavicin.org","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM – Kynologie Slavičín","https://kynologie.slavicin.org/2026/03/20/tg-masslinker-software-to-publish-backlinks-7/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"hobby.totalwellnessarena.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","포켓로그 라이벌, 이제는 이길 수밖에 없는 완벽 공략! — 웰조이","https://hobby.totalwellnessarena.com/p/pokerogue-rival-strategy-guide","https://pokerogue.cc/ko/blogs/pokerogue-gameplay-modes","포켓로그 고급 전략 더 알아보기","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"imagetou.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","Pokkevalue - Image to u","https://imagetou.com/my-img-pokkevalue.html","https://pokerogue.cc/ru","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"jabalamell.org","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM - JABAL AMEL","https://jabalamell.org/2026/03/20/tg-masslinker-software-to-publish-backlinks-6/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"newsblogsports.site","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","Best Tool for Pinterest SiteToSocial Fully Automated AI Generated Pins Grow Your Website Traffic","https://newsblogsports.site/all/394/13","https://pokerogue.cc/","Best Pinterest Tool SiteToSocial.com to Grow Your Website Traffic Fully Automated","false","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"nutrindoconexao.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM – Nutrindo Conexão","https://nutrindoconexao.com/tg-masslinker-software-to-publish-backlinks-5/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"onesupport.dk","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS | One Support DK - Private PC & Mac Support","https://onesupport.dk/telegram-seo-linkk-order-seo-backlinks-homepage-3-24/","https://pokerogue.cc/ko","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"loadingramp.in","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM - Sohal Engineering","https://loadingramp.in/tg-masslinker-software-to-publish-backlinks-7/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"lucaskund.ilait-reseller.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM – LucasKund","https://lucaskund.ilait-reseller.com/2026/02/05/tg-masslinker-software-to-publish-backlinks-2/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"metamagic.top","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","✅ Website Stats 📊","https://metamagic.top/stats/85917","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"saveurl.kikinote.net","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","","https://saveurl.kikinote.net/145665/%E3%80%8APok%C3%A9Rogue%E3%80%8B%E5%AE%8C%E6%95%B4%E6%94%BB%E7%95%A5%E5%A4%A7%E5%85%A8","https://pokerogue.cc/tw","","false","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"www.ezzycann.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM – EzzyCann | YouTuber | Tech Videos","https://www.ezzycann.com/tg-masslinker-software-to-publish-backlinks-2/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"www.fabiomelis.it","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM – Fabio Melis","https://www.fabiomelis.it/2026/02/05/tg-masslinker-software-to-publish-backlinks-2/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"www.kmcsteelmesh.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM – kmcsteelmesh.com","https://www.kmcsteelmesh.com/2026/02/05/tg-masslinker-software-to-publish-backlinks-2/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"upcincorp.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","admnlxgxn – Página 22 – United Perfonmance","https://upcincorp.com/author/admnlxgxn/page/22/","https://pokerogue.cc/ko","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"urls-shortener.eu","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","❤️ URL Shared ❤️","https://urls-shortener.eu/share/85918","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"websites.freemyip.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","❤️ URL Shared ❤️","https://websites.freemyip.com/share/85917","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"www.petlovestudio.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TELEGRAM @SEO_LINKK_ORDER - SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS - PetLoveStudio","https://www.petlovestudio.com/telegram-seo-linkk-order-seo-backlinks-homepage-3-9/","https://pokerogue.cc/ko","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"www.ready.pro","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","✅ Website Stats 📊","https://www.ready.pro/stats/85917","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"www.villaawards.gr","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","Villa Awards | TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","https://www.villaawards.gr/tg-masslinker-software-to-publish-backlinks-2/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"www.lummstudio.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","如何拿下大词？网站多语言的重要性 | 路漫漫","https://www.lummstudio.com/docs/20240625","https://pokerogue.cc/ko","https://pokerogue.cc/ko","false","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"www.moezone.app","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","【RPG/安卓】宝可梦肉鸽PokéRogue非官方魔改版【度盘】 – 萌の领域","https://www.moezone.app/145117.html","https://pokerogue.cc/zh","丰富的宝可梦捕捉 ： 玩家可以在游戏中捕捉未被驯服的宝可梦，组建自己的队伍，并通过战斗提升它们的能力。","false","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"www.pdfbookee.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","Ogue | Un Juego De Pokémon Rogue-lite | Free pdf textbooks download online","https://www.pdfbookee.com/un/ogue-un-juego-de-pokemon-rogue-lite.html","https://pokerogue.cc/es","Download File","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"sofaandcarpetcleaning.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM - Sofa Carpet Cleaning Services Dubai Sharjah Ajman - Xpert Cleaning","https://sofaandcarpetcleaning.com/tg-masslinker-software-to-publish-backlinks-5/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"sona.wiki","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","마롱제니 - 소나위키","https://sona.wiki/w/%EB%A7%88%EB%A1%B1%EC%A0%9C%EB%8B%88","https://pokerogue.cc/ko","파일:포켓로그 위키 로고.png 파일:포켓로그 위키 로고.png","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"supergirosguajiranorte.com.co","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TELEGRAM @SEO_LINKK_ORDER - SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS - SuperGIROS Guajira Norte","https://supergirosguajiranorte.com.co/telegram-seo-linkk-order-seo-backlinks-homepage-3-3/","https://pokerogue.cc/ko","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"screenshots.wiki","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","👲 Domain Report 👲","https://screenshots.wiki/report/85918","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"show.web.cafe","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","Website List : Pokerogue - Show.Web.Cafe","https://show.web.cafe/list/pokerogue","https://pokerogue.cc/","","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"sites.jake.eu","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","❤️ URL Shared ❤️","https://sites.jake.eu/share/85917","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"toplikevideo.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","High-quality backlink service 2024/05/03/4 | toplikevideo.com","https://toplikevideo.com/list.php?part=2024%2F05%2F03%2F4","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"tsight.io","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","《宝可梦肉鸽》苍响进化深度攻略：数据挖掘揭秘隐藏机制 | TrueSight","https://tsight.io/articles/9296259","https://pokerogue.cc/zh/blogs/pokerogue-pokemon-revolution","Pokérogue","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
